lon,lat,num_farmers,dissem_30,dissemS_30,dissem_15,dissem_15_30,dissemS_15_30,dissem33_30,dissem33_15,dissem33_15_30,dissem33N6_15
94,24,230734.69,0,0,0,0,0,0,0,0,0
86,18,,0,0,0,0,0,0,0,0,0
98,32,,0,0,0,0,0,0,0,0,0
90,28,,0,0,0,0,0,0,0,0,0
92,32,,0,0,0,0,0,0,0,0,0
100,22,,0,0,0,0,0,0,0,0,0
74,32,143192.83,0,0,0,0,0,0,0,0,0
68,10,,0,0,0,0,0,0,0,0,0
100,36,,0,0,0,0,0,0,0,0,0
86,12,,0,0,0,0,0,0,0,0,0
98,12,,0,0,0,0,0,0,0,0,0
90,34,,0,0,0,0,0,0,0,0,0
68,20,,0,0,0,0,0,0,0,0,0
68,34,,0,0,0,0,0,0,0,0,0
94,10,,0,0,0,0,0,0,0,0,0
82,38,,0,0,0,0,0,0,0,0,0
70,8,,0,0,0,0,0,0,0,0,0
92,34,,0,0,0,0,0,0,0,0,0
68,12,,0,0,0,0,0,0,0,0,0
90,36,,0,0,0,0,0,0,0,0,0
72,14,,0,0,0,0,0,0,0,0,0
68,38,,0,0,0,0,0,0,0,0,0
98,30,,0,0,0,0,0,0,0,0,0
88,16,,0,0,0,0,0,0,0,0,0
80,8,,0,0,0,0,0,0,0,0,0
70,38,,0,0,0,0,0,0,0,0,0
72,32,,0,0,0,0,0,0,0,0,0
96,10,,0,0,0,0,0,0,0,0,0
100,26,,0,0,0,0,0,0,0,0,0
68,36,,0,0,0,0,0,0,0,0,0
72,16,,0,0,0,0,0,0,0,0,0
98,8,,0,0,0,0,0,0,0,0,0
82,10,,0,0,0,0,0,0,0,0,0
92,8,,0,0,0,0,0,0,0,0,0
70,16,,0,0,0,0,0,0,0,0,0
92,38,,0,0,0,0,0,0,0,0,0
92,20,,0,0,0,0,0,0,0,0,0
100,16,,0,0,0,0,0,0,0,0,0
74,14,266090.41,0,0,0,0,0,0,0,0,0
74,12,30666.561,0,0,0,0,0,0,0,0,0
