term,estimate
week4::diff_ngcm_week4,-0.52229281
week4::diff_aifs_week4,0.109478177
week4::min_ngcm_10day_week1,-0.17045868
week4::min_ngcm_10day_week2,-0.803628033
week4::min_ngcm_10day_week3,0.090277243
week4::min_ngcm_10day_week4,0.996747615
week4::min_aifs_10day_week1,-0.173940324
week4::min_aifs_10day_week2,0.371871364
week4::min_aifs_10day_week3,0.444072486
week4::min_aifs_10day_week4,0.133877868
week4::prob_clim_mr_week1:diff_ngcm_week1,-0.046440276
week4::prob_clim_mr_week1:diff_aifs_week1,0.025185968
week4::diff_ngcm_week1:diff_aifs_week1,0.092191811
week4::prob_clim_mr_week2:diff_ngcm_week2,-0.132068003
week4::prob_clim_mr_week2:diff_aifs_week2,-0.156834021
week4::diff_ngcm_week2:diff_aifs_week2,-0.095990523
week4::prob_clim_mr_week3:diff_ngcm_week3,0.375369925
week4::prob_clim_mr_week3:diff_aifs_week3,-0.194539578
week4::diff_ngcm_week3:diff_aifs_week3,0.147624977
week4::prob_clim_mr_week4:diff_ngcm_week4,-0.186149913
week4::prob_clim_mr_week4:diff_aifs_week4,0.077522066
week4::diff_ngcm_week4:diff_aifs_week4,0.109992599
week4::prob_clim_mr_week1:diff_ngcm_week1:diff_aifs_week1,-0.003159184
week4::prob_clim_mr_week2:diff_ngcm_week2:diff_aifs_week2,-0.061627241
week4::prob_clim_mr_week3:diff_ngcm_week3:diff_aifs_week3,0.029147624
week4::prob_clim_mr_week4:diff_ngcm_week4:diff_aifs_week4,0.107937056
