target_id,source_id,weight
2129,20.00_70.00,0.978815880620298
2129,20.00_72.00,0.0211841193797021
2202,20.00_70.00,0.592599995900114
2202,22.00_70.00,0.000494431880568803
2202,20.00_72.00,0.379313769327622
2202,22.00_72.00,0.027591802891695
2250,20.00_70.00,1
2338,20.00_70.00,1
2340,20.00_70.00,0.220107183807379
2340,22.00_70.00,0.779892816192621
2353,20.00_70.00,0.349794031974755
2353,20.00_72.00,0.650205968025245
2135,22.00_70.00,0.0079402380786306
2135,22.00_72.00,0.992059761921369
2141,22.00_70.00,0.862951490430038
2141,22.00_72.00,0.137048509569962
2154,22.00_70.00,1
2184,22.00_70.00,0.327114768049034
2184,22.00_72.00,0.672885231950966
2204,22.00_70.00,0.90500890979216
2204,22.00_72.00,0.09499109020784
2206,22.00_70.00,0.0199435087457407
2206,24.00_70.00,0.023513893989563
2206,22.00_72.00,0.491855597158036
2206,24.00_72.00,0.46468700010666
2218,22.00_70.00,0.0487802574217921
2218,22.00_72.00,0.951219742578208
2220,22.00_70.00,1
2227,22.00_70.00,1
2251,22.00_70.00,0.995159070355277
2251,22.00_72.00,0.00484092964472315
2253,22.00_70.00,0.612698708385959
2253,22.00_72.00,0.387301291614041
2263,22.00_70.00,1
2270,22.00_70.00,0.294851392255611
2270,24.00_70.00,0.649111704303912
2270,24.00_72.00,0.0560369034404774
2284,22.00_70.00,0.925339296696415
2284,24.00_70.00,0.0701795714705478
2284,22.00_72.00,0.00448113183303774
2297,22.00_70.00,1
2309,22.00_70.00,0.830935186398802
2309,22.00_72.00,0.169064813601198
2342,22.00_70.00,1
2377,22.00_70.00,1
2381,22.00_70.00,0.560890884131107
2381,22.00_72.00,0.439109115868894
2314,24.00_70.00,0.94721901318045
2314,24.00_72.00,0.0527809868195499
4520,24.00_70.00,0.0434621666934087
4520,26.00_70.00,0.0506524646762623
4520,24.00_72.00,0.551698431824393
4520,26.00_72.00,0.354186936805936
4510,26.00_70.00,0.00317688105931023
4510,26.00_72.00,0.99682311894069
4513,26.00_70.00,0.5025873638446
4513,26.00_72.00,0.4974126361554
4514,26.00_70.00,0.351455928433748
4514,26.00_72.00,0.648544071566252
4516,26.00_70.00,0.99803286813437
4516,26.00_72.00,0.00196713186563039
4519,26.00_70.00,0.631787564786713
4519,26.00_72.00,0.368212435213287
4521,26.00_70.00,0.0243233038631525
4521,26.00_72.00,0.975676696136848
4690,26.00_70.00,0.520467760070783
4690,26.00_72.00,0.479532239929218
4691,26.00_70.00,0.108661186470779
4691,28.00_70.00,0.25065036297215
4691,26.00_72.00,0.120714145958326
4691,28.00_72.00,0.519974304598744
4694,26.00_70.00,0.00378580779201416
4694,28.00_70.00,0.937291965934213
4694,28.00_72.00,0.0589222262737724
4695,26.00_70.00,0.774265698409176
4695,28.00_70.00,0.225734301590824
3748,18.00_72.00,0.0149876794952288
3748,20.00_72.00,0.610367212844183
3748,18.00_74.00,0.00565850141210036
3748,20.00_74.00,0.368986606248488
3837,18.00_72.00,0.750703785487104
3837,18.00_74.00,0.249296214512896
3841,18.00_72.00,0.00165986211349195
3841,18.00_74.00,0.998340137886508
3843,18.00_72.00,0.794734215631879
3843,18.00_74.00,0.205265784368121
3844,18.00_72.00,0.0356914021885097
3844,18.00_74.00,0.519250417599466
3844,20.00_74.00,0.445058180212024
3845,18.00_72.00,0.0196113780158793
3845,18.00_74.00,0.980388621984121
3847,18.00_72.00,0.0280588492074571
3847,18.00_74.00,0.971941150792543
3848,18.00_72.00,0.275699133208762
3848,18.00_74.00,0.724300866791238
3851,18.00_72.00,0.489565369287969
3851,18.00_74.00,0.510434630712031
3912,18.00_72.00,0.577042624689309
3912,20.00_72.00,0.422957375310691
3913,18.00_72.00,0.0352652054383799
3913,20.00_72.00,0.96473479456162
2127,20.00_72.00,0.183709957853113
2127,20.00_74.00,0.816290042146888
2128,20.00_72.00,1
2162,20.00_72.00,0.00137365313048174
2162,20.00_74.00,0.998626346869518
2194,20.00_72.00,0.648561800098277
2194,20.00_74.00,0.351438199901723
2211,20.00_72.00,1
2212,20.00_72.00,0.6610212330552
2212,22.00_72.00,0.321647753588751
2212,22.00_74.00,0.0173310133560492
2237,20.00_72.00,0.00690432322677312
2237,20.00_74.00,0.993095676773227
2242,20.00_72.00,0.14020360181955
2242,22.00_72.00,0.85979639818045
2267,20.00_72.00,0.000334954343679134
2267,22.00_72.00,0.999665045656321
2292,20.00_72.00,0.390346884282719
2292,22.00_72.00,0.0776828619673513
2292,20.00_74.00,0.508415342659247
2292,22.00_74.00,0.0235549110906826
2302,20.00_72.00,0.586130155051579
2302,20.00_74.00,0.413869844948421
2310,20.00_72.00,0.278434137440012
2310,22.00_72.00,0.721565862559988
2350,20.00_72.00,1
2366,20.00_72.00,0.566721819569773
2366,20.00_74.00,0.433278180430227
2368,20.00_72.00,0.801564922277522
2368,20.00_74.00,0.198435077722478
3580,20.00_72.00,0.108559431896509
3580,20.00_74.00,0.891440568103491
3619,20.00_72.00,0.832529529755648
3619,20.00_74.00,0.167470470244352
3676,20.00_72.00,1
3736,20.00_72.00,0.985210924994387
3736,20.00_74.00,0.0147890750056134
3756,20.00_72.00,0.992686345548345
3756,20.00_74.00,0.00731365445165478
3757,20.00_72.00,0.180437038438041
3757,20.00_74.00,0.819562961561959
3759,20.00_72.00,0.0914821914282083
3759,20.00_74.00,0.908517808571792
2131,22.00_72.00,0.300866186911187
2131,24.00_72.00,0.699133813088813
2134,22.00_72.00,0.9037019406947
2134,22.00_74.00,0.0962980593053001
2136,22.00_72.00,0.45689787001238
2136,22.00_74.00,0.543102129987621
2138,22.00_72.00,0.402532008848756
2138,22.00_74.00,0.597467991151244
2139,22.00_72.00,0.578638305103767
2139,22.00_74.00,0.421361694896233
2140,22.00_72.00,1
2145,22.00_72.00,1
2146,22.00_72.00,1
2152,22.00_72.00,0.541016116044591
2152,22.00_74.00,0.458983883955409
2153,22.00_72.00,1
2158,22.00_72.00,1
2159,22.00_72.00,1
2163,22.00_72.00,1
2164,22.00_72.00,1
2165,22.00_72.00,1
2170,22.00_72.00,0.0433821328481035
2170,24.00_72.00,0.956617867151897
2171,22.00_72.00,0.662420420411773
2171,24.00_72.00,0.337579579588227
2174,22.00_72.00,0.00087876477055332
2174,24.00_72.00,0.984976780950926
2174,24.00_74.00,0.014144454278521
2179,22.00_72.00,1
2185,22.00_72.00,1
2186,22.00_72.00,1
2188,22.00_72.00,0.583038511817812
2188,24.00_72.00,0.416961488182188
2192,22.00_72.00,1
2198,22.00_72.00,1
2200,22.00_72.00,1
2207,22.00_72.00,1
2214,22.00_72.00,1
2219,22.00_72.00,1
2234,22.00_72.00,0.495780090506569
2234,22.00_74.00,0.504219909493432
2236,22.00_72.00,0.019346616400498
2236,24.00_72.00,0.0878609084809698
2236,22.00_74.00,0.241038617246852
2236,24.00_74.00,0.65175385787168
2238,22.00_72.00,0.0356870532706187
2238,22.00_74.00,0.964312946729381
2239,22.00_72.00,0.438005952395728
2239,24.00_72.00,0.141298790809417
2239,22.00_74.00,0.420695256794855
2244,22.00_72.00,1
2246,22.00_72.00,1
2257,22.00_72.00,0.969264067652778
2257,24.00_72.00,0.0307359323472219
2259,22.00_72.00,1
2260,22.00_72.00,1
2261,22.00_72.00,1
2266,22.00_72.00,0.518056176553696
2266,22.00_74.00,0.481943823446305
2275,22.00_72.00,0.00268865607013542
2275,22.00_74.00,0.997311343929865
2277,22.00_72.00,0.221609782558079
2277,22.00_74.00,0.778390217441921
2279,22.00_72.00,1
2281,22.00_72.00,1
2286,22.00_72.00,1
2288,22.00_72.00,0.980650933542271
2288,22.00_74.00,0.0193490664577286
2296,22.00_72.00,1
2298,22.00_72.00,0.550016867512757
2298,22.00_74.00,0.449983132487243
2300,22.00_72.00,1
2301,22.00_72.00,0.454904339275667
2301,22.00_74.00,0.545095660724333
2304,22.00_72.00,1
2313,22.00_72.00,1
2317,22.00_72.00,0.703213035272441
2317,24.00_72.00,0.296786964727559
2324,22.00_72.00,1
2326,22.00_72.00,1
2330,22.00_72.00,1
2333,22.00_72.00,1
2337,22.00_72.00,1
2339,22.00_72.00,1
2343,22.00_72.00,1
2344,22.00_72.00,1
2351,22.00_72.00,1
2352,22.00_72.00,0.0209807984588719
2352,22.00_74.00,0.979019201541128
2362,22.00_72.00,1
2364,22.00_72.00,1
2369,22.00_72.00,1
2374,22.00_72.00,1
2375,22.00_72.00,0.321867613961623
2375,24.00_72.00,0.678132386038377
2380,22.00_72.00,1
2133,24.00_72.00,1
2147,24.00_72.00,0.0333065848680844
2147,24.00_74.00,0.966693415131916
2148,24.00_72.00,1
2149,24.00_72.00,1
2160,24.00_72.00,1
2168,24.00_72.00,0.987544608747158
2168,24.00_74.00,0.0124553912528425
2169,24.00_72.00,1
2173,24.00_72.00,1
2175,24.00_72.00,1
2177,24.00_72.00,1
2180,24.00_72.00,1
2196,24.00_72.00,1
2208,24.00_72.00,1
2209,24.00_72.00,0.427149134017296
2209,24.00_74.00,0.572850865982704
2210,24.00_72.00,0.539180753361647
2210,24.00_74.00,0.460819246638353
2225,24.00_72.00,1
2229,24.00_72.00,1
2231,24.00_72.00,1
2235,24.00_72.00,1
2247,24.00_72.00,0.240833592451844
2247,24.00_74.00,0.759166407548156
2248,24.00_72.00,1
2255,24.00_72.00,1
2265,24.00_72.00,1
2273,24.00_72.00,1
2278,24.00_72.00,1
2299,24.00_72.00,1
2303,24.00_72.00,1
2306,24.00_72.00,0.155156649206741
2306,24.00_74.00,0.84484335079326
2307,24.00_72.00,0.905157874236634
2307,24.00_74.00,0.094842125763366
2308,24.00_72.00,1
2316,24.00_72.00,1
2320,24.00_72.00,1
2322,24.00_72.00,1
2323,24.00_72.00,1
2327,24.00_72.00,1
2329,24.00_72.00,1
2336,24.00_72.00,1
2341,24.00_72.00,0.410967009947874
2341,24.00_74.00,0.589032990052126
2345,24.00_72.00,1
2354,24.00_72.00,1
2356,24.00_72.00,0.603753753532867
2356,24.00_74.00,0.396246246467133
2357,24.00_72.00,1
2358,24.00_72.00,1
2370,24.00_72.00,1
2372,24.00_72.00,1
2378,24.00_72.00,1
4515,24.00_72.00,0.00865743415891509
4515,26.00_72.00,0.991342565841085
4517,24.00_72.00,0.00407520769241442
4517,26.00_72.00,0.995924792307586
4698,24.00_72.00,0.206238427876681
4698,26.00_72.00,0.793761572123319
4700,24.00_72.00,0.566391143477946
4700,26.00_72.00,0.433608856522054
