target_id,source_id,weight
325653,8.06_77.08,0.0984417261442883
325653,8.61_77.08,0.901558273855712
335753640,8.06_77.08,0.265186999705163
335753640,8.61_77.08,0.734813000294837
335753641,8.06_77.08,0.999514792668228
335753641,8.61_77.08,0.000485207331771755
335753642,8.06_77.08,0.432658626076817
335753642,8.06_77.92,0.210728774197548
335753642,8.61_77.08,0.292622941516851
335753642,8.61_77.92,0.0639896582087833
335753643,8.06_77.08,0.686217169621919
335753643,8.06_77.92,0.313782830378081
335755067,8.06_77.08,0.12053864040002
335755067,8.61_77.08,0.87946135959998
335755068,8.06_77.08,1
335943613,8.06_77.92,0.0124886098147637
335943613,8.61_77.92,0.987511390185236
335923644,8.06_77.92,0.754925848722267
335923644,8.61_77.92,0.245074151277733
335925058,8.06_77.92,0.424355823210423
335925058,8.61_77.92,0.575644176789578
3255912,8.61_76.25,0.135599484853173
3255912,8.61_77.08,0.31852170579511
3255912,9.17_76.25,0.38411835417781
3255912,9.17_77.08,0.161760455173907
325599,8.61_77.08,0.393488716951323
325599,9.17_77.08,0.606511283048677
325654,8.61_77.08,1
325656,8.61_77.08,1
325652,8.61_77.08,1
337333651,8.61_77.08,0.712633944592395
337333651,9.17_77.08,0.287366055407605
337333654,8.61_77.08,0.391989501766335
337333654,8.61_77.92,0.331252865167263
337333654,9.17_77.08,0.134723444275032
337333654,9.17_77.92,0.14203418879137
335923646,8.61_77.08,0.974967143953282
335923646,8.61_77.92,0.0250328560467182
335923645,8.61_77.08,0.170163631318588
335923645,8.61_77.92,0.829836368681412
325655,8.61_77.08,1
325651,8.61_77.08,1
325597,8.61_77.08,0.267203828544356
325597,9.17_77.08,0.732796171455644
335925057,8.61_77.08,0.0799809564167516
335925057,8.61_77.92,0.920019043583249
335943608,8.61_77.92,0.329898006975434
335943608,9.17_77.92,0.670101993024566
335943614,8.61_77.92,1
335943612,8.61_77.92,1
335943611,8.61_77.92,1
335923647,8.61_77.92,1
335923648,8.61_77.92,1
335945037,8.61_77.92,0.0112312486468329
335945037,9.17_77.92,0.988768751353167
335945042,8.61_77.92,1
335925056,8.61_77.92,0.444358165767975
335925056,9.17_77.92,0.555641834232025
3256035,9.17_76.25,0.123762136697114
3256035,9.72_76.25,0.538704431183342
3256035,9.72_77.08,0.337533432119545
3255444,9.17_76.25,0.338108967526071
3255444,9.72_76.25,0.661891032473929
3255443,9.17_76.25,0.477581190805486
3255443,9.72_76.25,0.522418809194514
3255440,9.17_76.25,1
3255442,9.17_76.25,0.981450003644753
3255442,9.17_77.08,0.0185499963552471
3255441,9.17_76.25,0.973634017776886
3255441,9.17_77.08,0.0263659822231142
3256451,9.17_76.25,0.858328167109109
3256451,9.17_77.08,0.141671832890891
3256452,9.17_76.25,0.250380673140833
3256452,9.17_77.08,0.440648520965569
3256452,9.72_76.25,0.128159870462514
3256452,9.72_77.08,0.180810935431084
3256454,9.17_76.25,0.0807332893422868
3256454,9.17_77.08,0.919266710657713
3256453,9.17_76.25,0.0821313557192726
3256453,9.17_77.08,0.917868644280727
3255910,9.17_76.25,1
3255911,9.17_76.25,0.815745474591055
3255911,9.17_77.08,0.184254525408945
3255647,9.17_77.08,0.147919159241943
3255647,9.72_77.08,0.852080840758057
3256036,9.17_77.08,0.0395763027164921
3256036,9.72_77.08,0.960423697283508
3256456,9.17_77.08,0.929193159270962
3256456,9.72_77.08,0.0708068407290383
325598,9.17_77.08,1
335973510,9.17_77.08,0.320780890806997
335973510,9.17_77.92,0.347903584894694
335973510,9.72_77.08,0.175134572851596
335973510,9.72_77.92,0.156180951446713
337333653,9.17_77.08,0.956423863559467
337333653,9.17_77.92,0.0435761364405331
337333649,9.17_77.08,0.245318061833715
337333649,9.17_77.92,0.754681938166285
337333650,9.17_77.08,0.42994166614925
337333650,9.17_77.92,0.57005833385075
337333652,9.17_77.08,1
3256455,9.17_77.08,0.991408381755263
3256455,9.72_77.08,0.00859161824473686
337335048,9.17_77.08,1
335973511,9.17_77.92,0.0472509656674306
335973511,9.72_77.08,0.154984241975386
335973511,9.72_77.92,0.797764792357183
335973512,9.17_77.92,0.300637920229164
335973512,9.72_77.92,0.699362079770836
335973513,9.17_77.92,0.0948619839237432
335973513,9.72_77.92,0.905138016076257
335973515,9.17_77.92,0.000406394143103853
335973515,9.72_77.92,0.796865215893053
335973515,9.72_78.75,0.202728389963843
335973516,9.17_77.92,0.475657336233339
335973516,9.17_78.75,0.0279075132069063
335973516,9.72_77.92,0.496435150559755
335973517,9.17_77.92,0.998688923987603
335973517,9.72_77.92,0.00131107601239681
335833571,9.17_77.92,0.259944616719994
335833571,9.17_78.75,0.51093799136933
335833571,9.72_77.92,0.0188746630990914
335833571,9.72_78.75,0.210242728811585
335833570,9.17_77.92,0.075202960391885
335833570,9.17_78.75,0.924797039608115
335943607,9.17_77.92,1
335943609,9.17_77.92,1
335943610,9.17_77.92,0.972595483795897
335943610,9.17_78.75,0.0274045162041029
335975049,9.17_77.92,0.991851036179855
335975049,9.72_77.92,0.00814896382014491
337335051,9.17_77.92,1
335833569,9.17_78.75,0.172058245267273
335833569,9.72_78.75,0.827941754732727
335833572,9.17_78.75,0.86982591603073
335833572,9.72_78.75,0.13017408396927
335833573,9.17_78.75,0.830330744055644
335833573,9.17_79.58,0.00225118937197667
335833573,9.72_78.75,0.16741806657238
335835063,9.17_78.75,1
335833575,9.17_79.58,1
3255568,9.72_76.25,0.227301745743843
3255568,10.28_76.25,0.772698254256157
3255572,9.72_76.25,0.565132879855801
3255572,10.28_76.25,0.4348671201442
3255570,9.72_76.25,0.681561414098241
3255570,10.28_76.25,0.318438585901759
3255569,9.72_76.25,0.82326748034459
3255569,9.72_77.08,0.0898839860141518
3255569,10.28_76.25,0.086037887001618
3255569,10.28_77.08,0.000810646639640273
3255566,9.72_76.25,1.02351039412707e-05
3255566,9.72_77.08,0.0152838197381745
3255566,10.28_76.25,0.177854216604371
3255566,10.28_77.08,0.806851728553513
3255648,9.72_76.25,0.0611119852345983
3255648,9.72_77.08,0.901996896774541
3255648,10.28_77.08,0.0368911179908602
3256038,9.72_76.25,0.369574475232875
3256038,9.72_77.08,0.630425524767125
3256039,9.72_76.25,1
3256037,9.72_76.25,0.915826405333295
3256037,9.72_77.08,0.0841735946667047
3255445,9.72_76.25,1
3255646,9.72_77.08,0.0509923682630479
3255646,10.28_77.08,0.949007631736952
3255650,9.72_77.08,0.817350983788794
3255650,10.28_77.08,0.182649016211206
335783554,9.72_77.08,0.0167269131850839
335783554,9.72_77.92,0.983273086814916
335883596,9.72_77.08,0.298301574737011
335883596,10.28_77.08,0.701698425262989
335883595,9.72_77.08,0.721164398706086
335883595,9.72_77.92,0.0306807287851671
335883595,10.28_77.08,0.240716596064509
335883595,10.28_77.92,0.0074382764442381
335883597,9.72_77.08,1
335883593,9.72_77.08,0.384790423401769
335883593,9.72_77.92,0.498106966266702
335883593,10.28_77.92,0.117102610331529
3255649,9.72_77.08,0.988622493620994
3255649,10.28_77.08,0.0113775063790056
335853634,9.72_77.92,0.0352824155350956
335853634,9.72_78.75,0.903180280011933
335853634,10.28_78.75,0.0615373044529715
335853635,9.72_77.92,0.0140858223841532
335853635,9.72_78.75,0.985914177615847
335783557,9.72_77.92,0.10137313706497
335783557,9.72_78.75,0.107006284367013
335783557,10.28_77.92,0.284358836991604
335783557,10.28_78.75,0.507261741576414
335783559,9.72_77.92,0.605657310562294
335783559,10.28_77.92,0.394342689437706
335783556,9.72_77.92,0.038305830838128
335783556,10.28_77.92,0.961694169161872
335783555,9.72_77.92,0.737757767278732
335783555,10.28_77.92,0.262242232721269
335783553,9.72_77.92,1
335783558,9.72_77.92,1
335973514,9.72_77.92,1
335784998,9.72_77.92,0.758400767301364
335784998,10.28_77.92,0.241599232698636
335784999,9.72_77.92,1
335785000,9.72_77.92,1
335855003,9.72_77.92,0.906084017531212
335855003,9.72_78.75,0.0939159824687886
335785025,9.72_77.92,1
335975070,9.72_77.92,1
335823686,9.72_78.75,0.103016920765376
335823686,9.72_79.58,0.0764837924348747
335823686,10.28_78.75,0.337954056707876
335823686,10.28_79.58,0.482545230091873
335823687,9.72_78.75,0.481107548490868
335823687,9.72_79.58,0.0017191421551931
335823687,10.28_78.75,0.517173309353939
335853637,9.72_78.75,9.21244191639896e-05
335853637,10.28_78.75,0.999907875580836
335853638,9.72_78.75,0.318997884244002
335853638,10.28_78.75,0.681002115755998
335853639,9.72_78.75,0.908074622110588
335853639,10.28_78.75,0.0919253778894118
335853636,9.72_78.75,1
335833574,9.72_78.75,1
335855021,9.72_78.75,0.00182619658584051
335855021,10.28_78.75,0.998173803414159
335855053,9.72_78.75,1
335835062,9.72_78.75,1
3256330,10.28_76.25,0.155752544664935
3256330,10.28_77.08,0.352559702302626
3256330,10.83_76.25,0.097602131347711
3256330,10.83_77.08,0.394085621684728
3256331,10.28_76.25,0.23029072589516
3256331,10.83_76.25,0.76970927410484
3256634,10.28_76.25,0.489964801553278
3256634,10.83_76.25,0.510035198446723
3256658,10.28_76.25,0.709608900009304
3256658,10.83_76.25,0.290391099990696
3256657,10.28_76.25,1
3256659,10.28_76.25,1
3255567,10.28_76.25,0.984285964540995
3255567,10.28_77.08,0.0157140354590053
3255571,10.28_76.25,1
3256660,10.28_76.25,0.828793112828344
3256660,10.28_77.08,0.171206887171656
335723576,10.28_77.08,0.464171508875591
335723576,10.28_77.92,0.291576381672956
335723576,10.83_77.08,0.14713574057611
335723576,10.83_77.92,0.0971163688753423
335723582,10.28_77.08,0.538510318141119
335723582,10.28_77.92,0.461489681858881
335883594,10.28_77.08,0.0620807598810522
335883594,10.28_77.92,0.937919240118948
335693504,10.28_77.08,0.999796372382169
335693504,10.83_77.08,0.00020362761783068
336343661,10.28_77.08,0.413733292740821
336343661,10.83_77.08,0.586266707259179
336343660,10.28_77.08,0.417155378866785
336343660,10.83_77.08,0.582844621133215
335695052,10.28_77.08,0.462790367878344
335695052,10.83_77.08,0.537209632121656
335723577,10.28_77.92,0.46739271945963
335723577,10.83_77.92,0.53260728054037
335723578,10.28_77.92,0.676799481338997
335723578,10.83_77.92,0.323200518661003
335723579,10.28_77.92,0.997761157978177
335723579,10.28_78.75,0.00223884202182339
335723583,10.28_77.92,1
335763502,10.28_77.92,0.00739878433109978
335763502,10.83_77.92,0.956426078208233
335763502,10.83_78.75,0.0361751374606667
335913563,10.28_77.92,0.226438378910034
335913563,10.28_78.75,0.155333814138681
335913563,10.83_77.92,0.199040969044378
335913563,10.83_78.75,0.419186837906907
335914992,10.28_77.92,0.1400243617018
335914992,10.28_78.75,0.8599756382982
335725014,10.28_77.92,1
335723580,10.28_77.92,1
335725020,10.28_77.92,1
335725072,10.28_77.92,0.0342514557630009
335725072,10.83_77.92,0.965748544236999
335863671,10.28_78.75,0.0504151907541335
335863671,10.28_79.58,0.332198323059924
335863671,10.83_78.75,0.048090675484711
335863671,10.83_79.58,0.569295810701232
335863670,10.28_78.75,0.0198262767060723
