target_id,source_id,weight
244494627,22.00_68.00,0.00985019951970287
244494627,24.00_68.00,0.698149195124857
244494627,22.00_70.00,0.00931785297150105
244494627,24.00_70.00,0.28268275238394
246744511,22.00_68.00,0.146590652093157
246744511,22.00_70.00,0.853409347906842
244494426,24.00_68.00,0.831899503250485
244494426,24.00_70.00,0.168100496749515
244494424,24.00_68.00,0.0701614700776598
244494424,24.00_70.00,0.92983852992234
244494427,24.00_68.00,0.0496693417030171
244494427,24.00_70.00,0.950330658296983
244484543,20.00_70.00,0.00033725315034939
244484543,22.00_70.00,0.999662746849651
246754549,20.00_70.00,0.111508071779076
246754549,22.00_70.00,0.888491928220924
246754547,20.00_70.00,0.847165846324755
246754547,22.00_70.00,0.152834153675245
246754548,20.00_70.00,1
246754542,20.00_70.00,1
246754641,20.00_70.00,0.299690277574634
246754641,20.00_72.00,0.700309722425366
384644403,20.00_70.00,0.978441233151035
384644403,20.00_72.00,0.0215587668489654
246754550,20.00_70.00,0.308980349701324
246754550,22.00_70.00,0.378131292800929
246754550,20.00_72.00,0.11553551503175
246754550,22.00_72.00,0.197352842465998
244494423,22.00_70.00,0.0350973536900254
244494423,24.00_70.00,0.964902646309975
244494422,22.00_70.00,0.168516100747017
244494422,24.00_70.00,0.831483899252983
244494428,22.00_70.00,0.613999022585532
244494428,24.00_70.00,0.386000977414469
244494429,22.00_70.00,0.891670011505253
244494429,24.00_70.00,0.108329988494747
244494425,22.00_70.00,0.240298976657909
244494425,24.00_70.00,0.759701023342091
246734620,22.00_70.00,0.0195174473257014
246734620,24.00_70.00,0.0237080926629229
246734620,22.00_72.00,0.4887685512369
246734620,24.00_72.00,0.468005908774476
246734621,22.00_70.00,0.292595062624815
246734621,24.00_70.00,0.657646422518765
246734621,24.00_72.00,0.0497585148564199
246734622,22.00_70.00,0.92208867661932
246734622,24.00_70.00,0.0724833408951514
246734622,22.00_72.00,0.005427982485529
246734623,22.00_70.00,1
246734471,22.00_70.00,0.554634573859729
246734471,22.00_72.00,0.445365426140271
