id,onset_thresh
101885054,46.46779691205308
101885055,46.22089180039809
101885056,53.59715571668715
101885057,27.61094079832433
101885058,45.94099596868435
101885059,44.80064857457214
101885060,29.89132908800463
101885061,28.769241101639565
101885062,17.135478229969163
101885063,17.842066099210452
101885064,18.94968624395622
101885065,26.25262944312429
101885066,19.636634282074333
101885067,16.127498951192756
101885068,24.32868748396814
101885069,24.291125160164317
101885070,30.15774640120349
101885071,22.18324552750284
101885072,36.841110311609185
101885073,36.01991359526581
101885074,31.59958873940451
101885075,40.64977634668688
101885076,42.18519105882648
101885077,27.012451519967964
101885078,26.80233154046443
101885079,25.936933502302658
101885080,22.10850786358146
101885081,20.958387292830622
101885082,23.37945424977576
101885083,30.977378683805767
101885084,27.51551348905037
101885085,28.134114927762173
101885086,54.61899671173343
101885087,55.61043336083194
101885088,36.01975532428903
101885089,35.67515500475946
101885090,35.8332071769545
101885091,37.90176361536694
101885092,26.954807434756272
101885093,29.401063589769457
101885094,56.58523787075517
101885095,28.53413222292776
101885096,35.43355265190632
101885097,58.21534905003782
101885098,34.274726367587675
101885099,29.99716112578655
101894679,36.72861434213881
101894680,36.81941087474768
101894681,36.43372424394035
101894682,36.85969983456351
101894683,37.46307839653438
101894684,38.3379230848827
101894685,38.286767623827174
101894686,39.29107312560965
101894687,38.637849193083646
101894688,38.56744871880366
101894689,37.869239100971335
101905141,36.708059425350626
101905142,35.55728016605672
101905143,37.31174342807333
101905144,35.02761281524066
101905145,35.087589376808175
101905146,34.60938600792204
101905147,34.78731197028237
101905148,34.66715668223121
101905149,34.900291387540946
101905160,34.31904526693177
101905161,33.86591144434797
101915018,36.78094520768687
101915021,34.26872348424909
101915022,38.138785491521865
101915023,37.16998727423077
101915024,35.195651604484155
101915025,36.70441521352938
101915026,38.138785491521865
101915027,37.28885123638201
101915028,34.30203042825557
101915029,36.44147357982581
101915030,35.26776011783344
101915031,35.393118826648525
101915032,35.35603139083054
101915033,35.39316657942968
101915034,35.92171519543341
101915035,34.75331724985145
101915036,34.46145752705409
101915187,36.219227994182184
101925162,41.27171067929279
101925163,35.454235979086505
101925164,36.80477424877022
101925165,42.72672550330135
101925166,35.91841944293202
101925167,39.66646285381078
101925168,42.18915290250484
101925169,39.53138565065066
101925170,39.99504508378015
101925171,39.6687843608622
101925172,39.34817012221662
101925173,40.91638819732844
101925174,41.385902499833286
101925175,40.542967057666786
101925176,40.95735680443377
101925177,42.08624136761797
101934913,33.599838809003415
101934914,36.171487961869666
101934915,34.61037768881348
101934916,33.976830539095175
101934917,34.07097406495155
101934918,34.48382808446107
101934919,35.021090642277244
101934920,34.46659189564274
101934921,34.21073885714062
101934922,35.10069426256319
101934923,33.62800800652865
101934924,34.56765566979214
101934925,34.66752735227998
101934926,35.969092206554095
101944853,33.9763515284684
101944854,35.29742304842797
101944855,35.401835395774434
101944856,35.401835395774434
101944857,34.75789978631105
101944858,36.8269222092228
101944859,37.073913331023284
101944860,36.861327587933104
101944861,34.79561197682161
101944862,36.11097191505004
101944874,34.91694951866493
101955100,37.326692026631704
101955101,37.61438867163864
101955102,37.354565415747686
101955103,37.503742775708616
101955104,38.46563096804593
101955105,39.31549753997006
101955106,36.956352436234525
101955107,36.66299529536731
101955108,39.186449334730604
101955109,39.649352897044494
101955110,39.72916114479882
101955111,38.741306008449065
101955112,37.70705073872947
101955113,36.76312655394684
101955114,36.02358142656607
101955115,37.73122630549839
101955116,37.98048951440573
101955117,37.10736631061677
101964774,36.65911452205895
101964775,35.17632924418187
101964776,35.86129851881496
101964777,34.26642548243747
101964778,35.593310210967935
101964779,35.20549892607963
101964780,34.920783032060584
101964781,35.97442905327316
101964782,35.359447342261205
101964783,36.6496787085599
101964784,39.68572412537716
101964785,38.7163631693135
101964786,38.47505265189455
101964787,39.34432133331918
101964788,38.880452753395616
101964789,39.30558053364784
101964790,38.156051278357694
101964791,37.31813775751482
101964792,35.9148995924952
101964793,36.201683287161934
101964794,37.69874027519094
101964795,37.01530667989156
101964796,36.74507607187253
101964797,37.34812268610418
101974722,37.40735801485326
101974723,38.266033575694244
101974724,37.22260377275881
101974725,38.414350018283706
101974726,39.68975342607175
101974727,38.955384950157764
101974728,41.62242556995366
101974736,39.37527690828665
101974737,37.44274977700858
101974738,39.70005261465803
101974739,38.610071870313355
101974740,38.817408588983184
101974741,39.056606985981155
101974742,41.065708508503015
101985150,35.48371443109624
101985151,35.11820154088122
101985152,35.680393332406325
101985153,35.95082107322922
101985154,36.02144655424133
101985155,35.97125484807429
101985156,34.978717904412136
101985157,35.32930442733775
101985158,35.85756970210731
101985159,34.987316732818336
101994826,35.3606130658312
101994827,33.89302307381364
101994828,35.68000839533079
101994829,35.680003256503504
101994830,34.296018774747665
101994831,33.51861935407032
101994832,33.81005642717801
102004863,36.58975247774271
102004864,36.54217485010289
102004865,38.80194085895005
102004866,36.53521359767584
102004867,39.19935550713023
102004868,38.66928982337591
102004869,40.245877402764066
102004870,39.48601520066625
102004871,39.53688060468125
102004872,40.01737660542223
102004873,37.00465511170454
102015064,42.194232514746886
102015065,42.43489997296637
102015066,41.33407577797209
102015067,41.92519889728007
102015068,42.140836350217285
102015069,42.528741703821154
102015070,42.7568141845211
102015071,42.40545676708436
102015072,42.87471059097861
102015073,44.17297954651715
102015074,45.89655443632271
102015075,44.58702560238909
102015076,43.892518439716014
102015077,41.880607016219386
102015098,42.41124347897659
102015099,42.21928763718946
102025014,37.14605505594216
102025015,36.330994255200736
102025016,37.030564014203826
102025017,37.631718620593965
102025019,36.92942768249305
102025020,36.41736879930211
102025037,38.32767876536535
102035088,63.03948155173485
102035089,76.74922881269185
102035090,76.97503833901123
102035091,65.25206397060445
102035092,70.73476682896992
102035093,65.34976829219269
102035096,63.840134998987466
102045001,34.81071640928975
102045002,35.50744226818442
102045003,34.31259649161753
102045004,34.74411336524916
102045005,33.82236235523019
102045008,36.29412089441262
102045009,35.01464196863576
102055128,40.4549934243198
102055129,40.51027280859261
102055130,40.52301503556517
102055131,42.10644111021019
102055132,40.52301503556517
102055133,43.14814347237726
102055134,46.130494534195165
102055135,42.4148630994053
102055136,43.817534274678216
102055137,42.74467692203698
102055138,40.345876333266126
102055139,40.298925998876484
102055140,38.30665754235978
102064875,38.418112992100745
102064876,39.18422238565197
102064877,37.76164319453277
102064878,38.37914683660881
102064879,39.3690589337408
102064880,41.37586354075018
102064881,36.91578264902089
102064882,36.126668488460986
102064883,38.73747690065365
102064884,37.83492462204582
102064885,38.21101411831994
102064886,37.371973922491236
102064887,41.37618330489013
102064888,38.62722055469076
102064889,38.60269046401953
102064890,41.86325286126063
102064891,41.41448637153781
102064892,40.25172420457357
102064893,39.98694761180766
102064894,42.15778801051218
102064895,38.37379228892875
102075178,35.69613178883711
102075179,38.81326278542461
102075180,39.69023983567078
102075181,36.11086343772333
102075182,35.92849342497777
102075183,35.143456330699934
102075184,36.186969633173916
102075185,34.14849677146701
102075186,37.475788488369886
102084985,36.76612963686819
102084986,36.686704192385186
102084987,36.90922141836385
102084988,36.717873008807004
102084989,38.90662338739128
102084990,39.55661935528723
